id,detected_ent,no_detections,no_db_keywords,number_of_missed_detections,alias1,alias2,alias3,alias4,alias5,alias6,címkézési szabály
361,Magyar Hivatalos Közlönykiadó Kft.,4,15,11,,,,,,,
373,Hajdú-Bét Rt.,14,41,27,,,,,,,
375,TV2 (televízió),0,157,157,TV2,tv2 televízió,TV2 Média csoport Zrt.,,,,zárójel
380,Pénzügyminisztérium,627,208,-419,,,,,,,
389,HM Currus Rt.,10,27,17,,,,,,,
401,Klubrádió,122,10,-112,,,,,,,
406,maffiaellenes központ,0,5,5,,,,,,,
408,Fidelitas,199,66,-133,,,,,,,
409,Fővárosi Közterület-fenntartó (FKF) Zrt.,30,136,106,,,,,,,
424,Café PR-konzorcium,0,2,2,,,,,,,
426,Magyar Kereskedelmi Engedélyezési Hivatal,27,4,-23,,,,,,,
428,Omninvest Kft.,28,49,21,,,,,,,
429,Alstom,188,163,-25,,,,,,,
441,Dataplex,8,39,31,,,,,,,
443,Fleminghouse Investments,1,15,14,,,,,,,
458,Domin-Art Kft.,0,1,1,,,,,,,
475,BKV (Budapesti Közlekedési Vállalat) Zrt.,1506,1196,-310,BKV,BKV Zrt.,Budapesti Közlekedési Vállalat,Budapesti Közlekedési Vállalat Zrt.,,,zárójel
479,Váltó-4 Libra Kft.,0,2,2,,,,,,,
485,Európa Rendezvény Iroda Kft.,0,1,1,,,,,,,
486,Fővárosi Főügyészség,1242,32,-1210,,,,,,,
495,MTM SBS,1,24,23,,,,,,,
496,MIÉP,97,22,-75,,,,,,,
498,ATV Zrt.,6,25,19,,,,,,,
504,ARK Rt.,0,1,1,,,,,,,
508,Kossuth Holding Kft.,0,2,2,,,,,,,
532,HB Wesminster II. Rt.,0,1,1,,,,,,,
545,Tulipan Holdings N.V.,0,1,1,,,,,,,
546,komáromi állami gazdaság,0,3,3,,,,,,,
562,Magyar Telekom Nyrt.,22,106,84,,,,,,,
566,Észak-Magyarországi Regionális Vízművek Zrt.,0,9,9,,,,,,,
578,Transzplantációs Klinika,0,1,1,,,,,,,
593,Lányi Anita Építészeti Stúdió Kft.,0,2,2,,,,,,,
594,Magyar Honvédség,153,99,-54,,,,,,,
596,RTL Klub,507,43,-464,,,,,,,
600,Király 21 Kft.,0,1,1,,,,,,,
612,Bombardier,32,10,-22,,,,,,,
630,Közbeszerzési Döntőbizottság,544,42,-502,,,,,,,
635,Debreceni Egyetem,92,39,-53,,,,,,,
636,Tesco Global Áruházak Zrt.,1,24,23,Tesco Global Zrt.,,,,,,
644,First Capital Invest Ltc.,0,2,2,,,,,,,
669,HM Zrínyi Nonprofit Kft.,3,28,25,,,,,,,
673,Axel Springer,39,9,-30,,,,,,,
685,LeasePlane Hungária Rt.,1,13,12,,,,,,,
699,Budapesti Corvinus Egyetem,119,61,-58,,,,,,,
701,Mellow Mood Kft.,1,16,15,,,,,,,
704,Magyar Rádió Nonprofit Zrt.,3,16,13,,,,,,,
721,Észak-Magyarországi Regionális Ifjúsági Tanács,0,1,1,,,,,,,
726,Szabadszentkirályi Mezőgazdasági Rt.,0,1,1,,,,,,,
729,Klotild kft.,0,3,3,,,,,,,
731,Gyémántfürt Mezőgazdasági Kft.,0,2,2,,,,,,,
733,Magyar Rendezvényirodák Szövetsége Egyesület,0,1,1,,,,,,,
741,Ipargazdasági Kutató és Tanácsadó Kft.,0,1,1,,,,,,,
753,Biztonságért Alapítvány,0,1,1,,,,,,,
759,Országos Környezeti Kármentesítési Program,0,1,1,,,,,,,
767,Fibisz,34,12,-22,,,,,,,
780,Budapest Bank Zrt.,6,59,53,,,,,,,
799,Mahir Cityposter Kft.,72,110,38,,,,,,,
812,Thermal Aqua Kft.,0,1,1,,,,,,,
818,Városgazdálkodási és Turisztikai Rt. (Gárdony),0,1,1,,,,,,,
826,Herba Hungary Zrt.,2,28,26,,,,,,,
838,Századvég Kft.,4,26,22,,,,,,,
839,Honvéd Kórház,6,19,13,,,,,,,
840,Hortobágy Consulting Kft.,0,2,2,,,,,,,
843,G-Módusz Kft.,0,2,2,,,,,,,
845,Állami Vagyonügynökség,44,13,-31,,,,,,,
846,Főtaxi,32,17,-15,,,,,,,
851,Fázis Rt.,0,1,1,,,,,,,
852,DOM Rt.,0,1,1,,,,,,,
854,Reállízing Kft.,0,1,1,,,,,,,
856,Dunagra Kft.,0,1,1,,,,,,,
857,Castellum Rt.,0,1,1,,,,,,,
858,Telnan Invest SL,0,2,2,,,,,,,
859,Dominancia Rt.,0,1,1,,,,,,,
861,R7 Kft.,0,1,1,,,,,,,
862,Real kft.,0,1,1,,,,,,,
865,Trend-Prognózis Rt.,0,2,2,,,,,,,
867,Qwertel Rt.,0,1,1,,,,,,,
873,Szintér Alapítvány,0,1,1,,,,,,,
877,Fonyódi Thermál Aqua Kft.,0,1,1,,,,,,,
879,Angster József Szakképző Iskola,0,1,1,,,,,,,
890,MP Europa Kft.,0,1,1,,,,,,,
896,Diagnosticium Rt.,0,2,2,,,,,,,
902,Földmüvelési és Vidékfejlesztési Hivatal,0,1,1,,,,,,,
904,Perfect Plast Kft.,0,1,1,,,,,,,
905,Perfect Pack Kft.,0,1,1,,,,,,,
906,Perfect Packaging Limited Ltd.,0,1,1,,,,,,,
907,Terézvárosi kft.,0,1,1,,,,,,,
911,Promega Kft.,0,1,1,,,,,,,
919,T-Systems Magyarország Zrt.,27,55,28,,,,,,,
934,Nofretete Kft.,0,1,1,,,,,,,
944,Eclipse Informatikai Rt.,1,76,75,,,,,,,
955,Esplanade Hungary Kft.,2,15,13,,,,,,,
959,Well Reklámügynökség Kft.,2,16,14,,,,,,,
968,Mahir Kiállítás Kft.,0,4,4,,,,,,,
971,Porr Ag,0,5,5,,,,,,,
974,Schöpf-Mérei Kórház,0,1,1,,,,,,,
983,KDNP,609,160,-449,,,,,,,
988,Centrum-Visegrád Kft.,0,1,1,,,,,,,
991,Zöldfok Rt.,0,1,1,,,,,,,
1011,Dél-békési Terület és Humánerőforrás-fejlesztő Kht,0,1,1,,,,,,,
1013,Z Körte Kft.,0,1,1,,,,,,,
1021,K.V.B. Autoital Bt.,0,1,1,,,,,,,
1022,Miskolci Városi Közlekedési Rt.,0,1,1,,,,,,,
1026,Compconto Kft.,0,1,1,,,,,,,
1028,Degremont S.A.,0,2,2,,,,,,,
1034,csepeli szennyvíztisztító,0,26,26,,,,,,,
1036,2S Gazdasági Szolgáltató Rt.,0,1,1,,,,,,,
1043,Magyar Építő Zrt.,143,121,-22,,,,,,,
1086,Magyar Kép és Hang Szolgáltató Rt.,0,1,1,,,,,,,
1087,B-média Kft.,0,1,1,,,,,,,
1094,Társaság a Keleti Piacokért Egyesület,0,1,1,,,,,,,
1097,Kongsberg Hungária Kft.,0,1,1,,,,,,,
1098,Agroil Rt.,0,1,1,,,,,,,
1099,System Consulting Rt.,4,35,31,,,,,,,
1101,Vagon Lízing Pénzügyi Rt.,0,1,1,,,,,,,
1102,Famáka Kft.,0,1,1,,,,,,,
1103,Ples Rt.,0,1,1,,,,,,,
1110,DRT Hungary Kft.,0,1,1,,,,,,,
1113,Sasbusiness KFt.,0,1,1,,,,,,,
1114,Sasad Vagyonkezelő Kft.,0,1,1,,,,,,,
1115,Sasflóra Kft.,0,1,1,,,,,,,
1116,Sasfruit Rt.,0,1,1,,,,,,,
1117,Sasinter Kft.,0,1,1,,,,,,,
1119,Pénzügyi és Vállalkozói Központ Kft.,0,1,1,,,,,,,
1120,Autó-Hild,0,2,2,,,,,,,
1123,Biotrade Kft.,0,1,1,,,,,,,
1125,Szupergáz-Autó-Hild Rt.,0,1,1,,,,,,,
1145,Citadella 4U Kft.,0,3,3,,,,,,,
1146,Mega-Logistic Rt.,0,16,16,,,,,,,
1152,Központi Bűnöldözési Igazgatóság,0,5,5,,,,,,,
1177,Duna-Profit,0,1,1,,,,,,,
1190,Civil Biztonsági Szolgálat Zrt.,74,104,30,,,,,,,
1215,Allied Investment Rt.,0,1,1,,,,,,,
1228,Cears Bt.,0,1,1,,,,,,,
1237,Első Közép- és Kelet-európai Együttműködés Alapítvány,0,2,2,,,,,,,
1238,Paksi Atomerőmű Rt.,13,70,57,,,,,,,
1250,Határőrség,3,29,26,,,,,,,
1253,I.M.G. Inter Media Group Kft.,21,35,14,,,,,,,
1255,Győr–Sopron–Ebenfurti Vasút (GYSEV) Zrt.,1,17,16,,,,,,,
1257,Békési Gabona Rt.,0,1,1,,,,,,,
1262,Legfelsőbb Bíróság,421,3,-418,,,,,,,
1272,Vilati Rt.,0,7,7,,,,,,,
1277,Dach Holding 94 Kft.,0,1,1,,,,,,,
1282,Szegedi Ítélőtábla,175,3,-172,,,,,,,
1302,EuroAWK Kft.,0,2,2,,,,,,,
1329,Sárhegyi és Társa Ügyvédi Iroda,8,24,16,,,,,,,
1330,Z.I.B. Consulting Kft.,0,1,1,,,,,,,
1343,Klíma-Vill Kft.,0,1,1,,,,,,,
1349,Vasas Labdarugó Sportszolgáltató Kft.,0,5,5,,,,,,,
1350,Dunanett Kft.,0,1,1,,,,,,,
1356,Rodexco Kft.,0,1,1,,,,,,,
1363,ContiCar,4,23,19,,,,,,,
1378,Agrograin Kereskedelmi Rt.,0,1,1,,,,,,,
1391,Köztársasági Őrezred,55,13,-42,,,,,,,
1399,Kime-Net Számítástechnikai Kft.,0,3,3,,,,,,,
1428,Dermo Trade Rt.,0,1,1,,,,,,,
1446,Terror Háza Múzeum,36,19,-17,,,,,,,
1451,V.H.V. Vendéglátóipari Kft.,0,1,1,,,,,,,
1461,Mátrai Erőmű Zrt.,43,98,55,,,,,,,
1473,Dembi 26. Kft.,0,3,3,,,,,,,
1477,BAE Systems-SAAB,8,84,76,BAE Systems,,,,,,
1481,Horse Trading Ltd.,0,3,3,,,,,,,
1482,Palotai Vámügynök Kft.,0,1,1,,,,,,,
1483,Lockhead,0,2,2,,,,,,,
1486,Fővárosi Művelődési Ház,0,1,1,,,,,,,
1495,Zuglói Vagyonkezelő Rt.,1,20,19,,,,,,,
1497,CIB Bank,60,13,-47,,,,,,,
1499,Király Ház Kft.,0,1,1,,,,,,,
1500,Klau-Bau Kft.,0,1,1,,,,,,,
1501,Linmor Consultans,0,1,1,,,,,,,
1503,Erzsébetvárosi Önkormányzat Vagyonkezelő Zrt.,0,4,4,,,,,,,
1504,Nemzeti Infrastruktúra Fejlesztő (NIF) Zrt.,52,156,104,Nemzeti Infrastruktúra Fejlesztő Zrt.,Nemzeti Infrastruktúra Fejlesztő,NIF,NIF Zrt.,,,zárójel
1517,Szövetség a Modern Magyarországért,7,20,13,,,,,,,
1534,Sanoma,19,3,-16,,,,,,,
1536,Tender-Co Gazdasái Szervező Kft.,0,1,1,,,,,,,
1545,Pécsi Városüzemelési és Vagyonkezelő Zrt.,8,28,20,,,,,,,
1554,Budapest-Tv,0,2,2,,,,,,,
1559,Bács-Kiskun Megyei Ifjúsági Szövetség,0,1,1,,,,,,,
1560,LP Invest Kft.,0,1,1,,,,,,,
1561,Patkós és Társa Bt.,0,1,1,,,,,,,
1571,Arcadom Rt.,1,22,21,,,,,,,
1575,BS-AXIS Építőipari Kft.,0,3,3,,,,,,,
1577,Semmelweis Kórház (Miskolc),0,1,1,,,,,,,
1592,Diamon-Build Kft.,0,2,2,,,,,,,
1599,Fiatal Baloldal,97,115,18,,,,,,,
1602,ÁNTSZ,65,11,-54,,,,,,,
1606,Igazságügyi Minisztérium,284,126,-158,,,,,,,
1608,ENSZ,193,4,-189,,,,,,,
1611,Világbank,107,1,-106,,,,,,,
1613,Kurdy Family Kft.,0,2,2,,,,,,,
1614,Nyírség Hasso Kft.,0,1,1,,,,,,,
1624,Develor Tanácsadó Rt.,0,7,7,,,,,,,
1658,RWE,41,18,-23,,,,,,,
1659,Jobb Jövőért  Alapítvány,0,4,4,,,,,,,
1665,Siemens AG,10,44,34,,,,,,,
1675,Magyar Turizmus Zrt.,78,33,-45,,,,,,,
1676,Tizennyolc körül Alapítvány,0,1,1,,,,,,,
1681,Rákóczy Bank,0,1,1,,,,,,,
1685,Miskolci Egyetem,44,11,-33,,,,,,,
1694,HM EI Zrt.,72,66,-6,"Minisztérium Elektronikai, Logisztikai és Vagyonkezelő Zrt. (HMEI Zrt.)","Minisztérium Elektronikai, Logisztikai és Vagyonkezelő Zrt.",HMEI Zrt.,,,,
1696,MEH Nemzeti Területgejlesztési Hivatal,0,1,1,,,,,,,
1711,Agro-City Zrt.,0,3,3,,,,,,,
