id,detected_ent,no_detections,no_db_keywords,number_of_missed_detections,alias1,alias2,alias3,alias4,alias5,alias6,címkézési szabály
2592,Magyarok Egymásért Szövetség,5,22,17,,,,,,,
2593,C. C. Soft Kft.,10,44,34,,,,,,,
2612,Grupo Milton Zrt.,3,58,55,,,,,,,
2618,A-Híd Építő Zrt.,18,51,33,A-Híd Zrt.,,,,,,
2621,Informatikai és Technológiai Innovációs Park (ITIP) Rt.,0,2,2,,,,,,,
2629,Political Capital,140,19,-121,,,,,,,
2631,Klesics és Tuller Ügyvédi iroda,0,1,1,,,,,,,
2642,Deutsche Telekom,62,27,-35,,,,,,,
2656,Hungária Televízió Közalapítvány,17,1,-16,,,,,,,
2658,Sávoly Motorcentrum Fejlesztő Kft.,22,48,26,,,,,,,
2669,K.L. Kommunikációs Bt.,0,2,2,,,,,,,
2673,Made in Design Bt.,0,1,1,,,,,,,
2679,Budapest Gyógyfürdői és Hévízei Zrt.,6,63,57,,,,,,,
2702,Budapesti Ügyvédi Kamara,52,8,-44,,,,,,,
2703,HM Térképészeti Közhasznú Nonprofit Kft.,4,29,25,,,,,,,
2706,Prófécia Ingatlanforgalmazó Kft.,0,1,1,,,,,,,
2710,EchoTV,8,47,39,,,,,,,
2717,EBRD,64,2,-62,,,,,,,
2737,Kilián autóbusz-szakszervezet,0,4,4,,,,,,,
2748,Zömök Biztonságtechnikai Kft.,10,32,22,,,,,,,
2756,Porto Investment Hungary Kft.,20,40,20,,,,,,,
2778,Multi-Bello Vagyonvédelmi és Szolgáltató Kft.,0,1,1,,,,,,,
2781,EvoBus Hungária,2,14,12,,,,,,,
2806,LMP,1734,76,-1658,,,,,,,
2816,MÁV Területi Ingatlanhasznosítási Központ,0,1,1,,,,,,,
2823,FHB Bank,43,57,14,,,,,,,
2841,Európa Szolgáltató Közhasznú Non-profit Kht.,0,1,1,,,,,,,
2845,Max&Future.,0,2,2,,,,,,,
2853,Multi-Zone Kft.,0,1,1,,,,,,,
2858,Magyar Kereskedelmi és Iparkamara,61,12,-49,,,,,,,
2866,Oktatási Hivatal,56,12,-44,,,,,,,
2870,Budapesti Katonai Ügyészség,145,4,-141,,,,,,,
2876,Perfekt Gazdasági Tanácsadó Oktató és Kiadó Zrt.,0,2,2,,,,,,,
2890,Top Immobile Limited,0,1,1,,,,,,,
2896,Perekt Rt.,0,1,1,,,,,,,
2900,Miskolc Holding Zrt.,14,25,11,,,,,,,
2928,DunaZip Kft.,0,1,1,,,,,,,
2929,DunaRaf Kft.,0,1,1,,,,,,,
2930,Tildor Bt.,0,1,1,,,,,,,
2931,Hit Gyülekezete,35,9,-26,,,,,,,
2942,Vasútépítők Pályatervező Kivitelező és Iparvágányfenntartó Kft.,0,21,21,,,,,,,
2954,Környezetvédelmi és Vízügyi Minisztérium,30,4,-26,,,,,,,
2958,Har and Mar Kft.,0,1,1,,,,,,,
2980,Far East S.A.,0,1,1,,,,,,,
2983,HM Verga Zrt.,1,13,12,,,,,,,
3004,Tanulmányi Állami Erdőgazdaság Zrt.,0,2,2,,,,,,,
3017,Transit Speed Kft.,0,1,1,,,,,,,
3020,BERE-BAU Kft.,0,1,1,,,,,,,
3030,Club Aliga,65,47,-18,,,,,,,
3032,Budapesti Ingatlanhasznosítási és Fejlesztési (BIF) Nyrt.,1,55,54,,,,,,,
3049,Mezőgazdasági és Vidékfejlesztési Hivatal,128,49,-79,,,,,,,
3052,Perfekting Mérnök Iroda Kft.,0,3,3,,,,,,,
3069,Miniszterelnökség,2266,591,-1675,,,,,,,
3072,Emuna Holding,0,1,1,,,,,,,
3073,Pécsi Egyházmegye,15,39,24,,,,,,,
3079,Országos Katasztrófavédelmi Főigazgatóság,31,16,-15,,,,,,,
3086,Mészáros és Mészáros Kft.,372,295,-77,,,,,,,
3100,Ilber Bt.,0,1,1,,,,,,,
3115,Geodézia és Térképészeti Zrt.,0,5,5,,,,,,,
3123,DH-Szervíz Kft.,0,7,7,,,,,,,
3133,UEFA,121,4,-117,,,,,,,
3135,Be-De Invest Dél Bt.,0,1,1,,,,,,,
3137,Nemzeti Védelmi Szolgálat,354,31,-323,,,,,,,
3173,Gazdaságtudományi Vezetéselméleti és Érdek-képviseleti Egyesület,0,9,9,,,,,,,
3175,Közszolgálati Közalapítvány,19,4,-15,,,,,,,
3181,Városi Televízió Nonprofit Kft,0,1,1,,,,,,,
3182,Költségvetési Tanács,51,6,-45,,,,,,,
3245,DF-csoport,0,1,1,,,,,,,
3247,Magyar Orvosi Kamara,66,16,-50,,,,,,,
3275,Port Data Kft.,0,1,1,,,,,,,
3276,Térregény Kulturális és Vagyonkezelő Kft.,0,1,1,,,,,,,
3277,T8 Vagyonkezelő Kft.,0,1,1,,,,,,,
3313,Műcsarnok,18,2,-16,,,,,,,
3315,Önkormányzati és Területfejlesztési Minisztérium,45,3,-42,,,,,,,
3334,Talentis Group Zrt.,63,76,13,Talentis Group,,,,,,
3342,Magyar Nemzeti Múzeum,36,5,-31,,,,,,,
3366,KLH Kft.,0,3,3,,,,,,,
3369,CBA,114,73,-41,,,,,,,
3380,szabadszállási laktanya,0,1,1,,,,,,,
3383,Országgyűlés Hivatala,175,41,-134,,,,,,,
3387,IBM,31,3,-28,,,,,,,
3388,JeT-SOL Kft.,0,3,3,,,,,,,
3393,Magyar Katolikus Egyház,5,35,30,,,,,,,
3421,Magyar Művészeti Akadémia,75,35,-40,,,,,,,
3432,Budwell Holding Hungary Kft.,0,1,1,,,,,,,
3434,BorsodChem,23,3,-20,,,,,,,
3439,Józsa András Kórház,0,1,1,,,,,,,
3443,Young & Partners Kft.,6,77,71,,,,,,,
3449,Valton-Sec Zrt.,21,118,97,,,,,,,
3461,ATEVSZOLG Innovációs és Szolgáltató Rt.,0,2,2,,,,,,,
3467,Metro (lap),0,3,3,,,,,,,
3471,Euronics,0,1,1,,,,,,,
3472,Vöröskő Kft.,0,1,1,,,,,,,
3473,Bravotech Kft.,0,1,1,,,,,,,
3474,Főfotó Kft.,0,1,1,,,,,,,
3477,Liszt Ferenc Zeneművészeti Egyetem,26,5,-21,,,,,,,
3480,Pannon-víz Zrt.,0,3,3,,,,,,,
3488,ZTE,37,1,-36,,,,,,,
3508,Budapest Holding Első Hazai Vagyonkezelő Zrt.,0,1,1,,,,,,,
3521,Paul Szilard Production,0,1,1,,,,,,,
3537,Xenoplast Shipping AG,3,15,12,,,,,,,
3540,Budaiút-Invest Kft.,0,1,1,,,,,,,
3543,H&T Kft.,0,2,2,,,,,,,
3547,Design Terminal Közhasznú Nonprofit Kft.,1,13,12,,,,,,,
3561,CONSTRUM Beruházó és Kivitelező Kft. (Szentendre),0,1,1,,,,,,,
3581,Investsys-Europe,0,1,1,,,,,,,
3590,Hajdú-Bihar Megyei Kormhivatal Munkavédelmi és Munkaügyi Szakig Szerv,0,2,2,,,,,,,
3591,Olajterv Fővállalkozó és Tervező Zrt.,0,5,5,,,,,,,
3592,HP Team Ipari és Energetikai Szolgáltató Kft.,0,1,1,,,,,,,
3595,Pázmány Péter Katolikus Egyetem,54,23,-31,,,,,,,
3604,Almádia és Franna kft.,0,1,1,,,,,,,
3608,Vaszary Kolos Kórház,0,1,1,,,,,,,
3613,Kontirex Kft.,0,1,1,,,,,,,
3626,Vidékfejlesztési Minisztérium,258,79,-179,,,,,,,
3628,Nemzeti Adó- és Vámhivatal (NAV),1932,643,-1289,NAV,Nemzeti Adó- és Vámhivatal,,,,,zárójel
3633,Metropol (újság),0,9,9,Metropol,Metropol napilap,,,,,zárójel
3636,Generál Média Kft.,4,17,13,,,,,,,
3638,Magyar Bírósági Végrehajtói Kamara,15,38,23,,,,,,,
3639,Hung-Ister Zrt.,27,42,15,,,,,,,
3642,EAG Bt.,0,1,1,,,,,,,
3649,Balaton-nagybereki Állami Gazdaság,0,4,4,,,,,,,
3652,Pro A Kft.,0,3,3,,,,,,,
3656,Publimont Kft.,51,94,43,Publimont Hirdetésszervező Kft.,,,,,,
3670,Észak-Hevesi Vidékfejlesztésért Közhasznú Leader Egyesület,0,1,1,,,,,,,
3706,Apis Irodaszer Kft.,0,1,1,,,,,,,
3707,I-com Iroda - Kommunikáció Kft.,0,5,5,,,,,,,
3732,Hangarn Oil Products Trading,1,20,19,,,,,,,
3736,Geoscan Kft.,0,1,1,,,,,,,
3740,Inform Média Kft.,7,20,13,,,,,,,
3742,Pannon Lapok Társasága Kft.,6,34,28,,,,,,,
3756,VOKSH Oktató Szervező és Gépjárművezető-képző Kft.,0,1,1,,,,,,,
3805,IMI 95 Kft.,0,1,1,,,,,,,
3812,Megafilm Service Műsorgyártó és Szolgáltató Kft.,1,14,13,,,,,,,
3815,Swietelsky Építő Kft.,16,93,77,Swietelsky Magyarország Kft.,,,,,,
3823,Csongrád Megyei Bíróság,47,11,-36,,,,,,,
3837,Herceg Eszterházy Miklós Szakképző Iskola,0,2,2,,,,,,,
3848,Heves Megyei Önk Fogyatékosok Otthona és Rehabilitációs Intézete,0,1,1,,,,,,,
3853,Raiffeisen Bank,38,17,-21,,,,,,,
3857,EuroAszfalt Kft.,29,53,24,,,,,,,
3862,Siófok FC,1,17,16,,,,,,,
3863,Ceroma Holdings Limited,3,14,11,,,,,,,
3874,Escort Védelmi Szolgáltató Kft.,0,2,2,,,,,,,
3879,Közbeszerzések Tanácsa,121,8,-113,,,,,,,
3880,Drawa Bt.,0,1,1,,,,,,,
3891,Hadfi János Ferenc,0,1,1,,,,,,,
3893,Békés Megyei Kormányhivatal,25,6,-19,,,,,,,
3895,Országos Bírósági Hivatal,209,69,-140,,,,,,,
3900,Zalaegerszegi Torna Egylet FC (ZTE),0,7,7,ZTE,Zalaegerszegi Torna Egylet,,,,,
3902,promix Kft.,0,1,1,,,,,,,
3905,4BRO Hungary Kft.,0,1,1,,,,,,,
3906,N. Market Kft.,0,1,1,,,,,,,
3922,Testnevelési Egyetem,91,67,-24,,,,,,,
3923,PQS Plural Kft.,0,4,4,,,,,,,
3926,Szolnoki Papírgyár,0,2,2,,,,,,,
3933,Széchenyi Bank,70,40,-30,,,,,,,
3934,M1 Autó Planet Kft.,0,1,1,,,,,,,
3935,Planet Leasing Pénzügyi Szolgáltató Zrt.,0,1,1,,,,,,,
3941,Magyar Önkormányzatok Szövetsége,19,1,-18,,,,,,,
3946,E-OS Gáz Földgáz Kereskedő és Szolgáltató Kft.,0,1,1,,,,,,,
3950,Magyar Nemzeti Filmalap Zrt.,3,16,13,,,,,,,
3952,Andosa Market Kft.,0,1,1,,,,,,,
3960,Kúria,794,43,-751,,,,,,,
3988,Vasútvill Vasútvillamosító Kft.,0,27,27,,,,,,,
4034,Infocenter Zrt.,1,13,12,,,,,,,
4037,Tabán Trafik Zrt.,20,36,16,,,,,,,
4039,Századvég Gazdaságkutató Zrt.,92,136,44,,,,,,,
4040,Századvég Politikai Iskola Alapítvány,59,89,30,,,,,,,
4073,DVTK (futball),0,19,19,,,,,,,zárójel
4079,Kaposvári Kosárlabda Klub,0,1,1,,,,,,,
4086,Észak-Dunántúli Vízmű Zrt.,0,2,2,,,,,,,
4094,Központi Nyomozó Főügyészség,1908,47,-1861,,,,,,,
4106,HG 360 Reklámügynökség Kft.,11,29,18,,,,,,,
4107,Búzakalász 66 Kft.,57,82,25,,,,,,,
4111,Magyar Termés TÉSZ Kft.,48,66,18,,,,,,,
4112,Szeged Város Önkormányzata,1,54,53,,,,,,,
4114,Debrecen Város Önkormányzata,0,91,91,Debrecen Önkormányzat,debreceni önkormányzat,,,,,önkormányzat város
4116,Budapest Főváros V. kerület Önkormányzata,1,347,346,V. kerület Önkormányzat,V. kerületi önkormányzat,belvárosi önkormányzat,,,,önkormányzat bp
4118,Tompa Város Önkormányzata,0,4,4,,,,,,,
4120,Budapest Főváros XI. Kerület Önkormányzata (Újbuda),176,154,-22,,,,,,,önkormányzat bp
4121,Budapest Főváros XXII. kerület Önkormányzata (Budafok-Tétény),9,12,3,Budafok Önkormányzat,budafoki önkormányzat,XXII. kerületi önkormányzat,,,,önkormányzat bp
4123,Budapest Főváros Önkormányzata,20,326,306,Fővárosi Önkormányzat,budapesti önkormányzat,Budapest Főváros Önkormányzata- Főpolgármesteri Hivatal,,,,
4125,Sárvári Mezőgazdasági Zrt.,29,11,-18,,,,,,,
4129,CD Hungary,29,6,-23,,,,,,,
4130,Budapest Főváros VI. kerület Önkormányzata (Terézváros),0,61,61,,,,,,,önkormányzat bp
4131,Pécs Megyei Jogú Város Önkormányzata,1,91,90,Pécs Önkormányzata,pécsi önkormányzat,,,,,önkormányzat város
4132,Budapest Főváros XIV. kerület Önkormányzata (Zugló),0,99,99,,,,,,,önkormányzat bp
4135,Panel Invest Kft.,0,1,1,,,,,,,
4140,Unione-C Kft.,0,1,1,,,,,,,
4142,Szikszó Város Önkormányzata,0,1,1,,,,,,,
4152,Épkar Zrt.,93,75,-18,,,,,,,
4154,Keszthely Város Önkormányzata,2,16,14,,,,,,,
4155,Badacsonytomaj Város Önkormányzata,0,6,6,Badacsonytomaj Önkormányzat,badacsonytomaji önkormányzat,,,,,
4159,Felcsút község Önkormányzata,0,41,41,Felcsút Önkormányzat,felcsúti önkormányzat,,,,,önkormányzat község
4171,Budapest Főváros IX. kerület Önkormányzata (Ferencváros),0,58,58,,,,,,,önkormányzat bp
4172,Sárpilis Község Önkormányzata,0,1,1,,,,,,,
4174,Kiskunmajsa Város Önkormányzata,0,1,1,,,,,,,
4176,Tiszaújváros Város Önkormányzata,0,3,3,,,,,,,
4182,Budapest Főváros VII. kerület Önkormányzata (Erzsébetváros),0,115,115,,,,,,,önkormányzat bp
4183,Dombóvár Város Önkormányzata,0,30,30,,,,,,,önkormányzat város
4185,Gyömrő Város Önkormányzata,0,10,10,gyömrői önkormányzat,Gyömrő Önkormányzat,,,,,önkormányzat város
4187,Budapest Főváros VIII. kerület Önkormányzata (Józsefváros),0,53,53,,,,,,,önkormányzat bp
4188,Hír Televízió,181,15,-166,,,,,,,
4189,Takarékbank Zrt.,26,106,80,MTB Takerékbank,,,,,,
4190,Gránit Bank,94,73,-21,,,,,,,
4194,Pacsa Város Önkormányzata,0,1,1,,,,,,,
4200,Nyíregyháza Megyei Jogú Város Önkormányzata,0,22,22,Nyíregyháza Önkormányzat,nyíregyházi önkormányzat,,,,,önkormányzat város
4202,Humanity FC LCC,0,1,1,,,,,,,
4204,Magyar Exporthitel Biztosító (Mehib) Zrt.,2,14,12,,,,,,,
4218,Esztergom Város Önkormányzata,2,84,82,,,,,,,
4220,Budapest Főváros I. kerület Önkormányzata (Budavár),0,70,70,,,,,,,önkormányzat bp
4226,BRFK III. kerületi Rendőrkapitányság,0,1,1,,,,,,,
4232,Budapest Főváros XII. Kerület Önkormányzat (Hegyvidék),9,39,30,,,,,,,önkormányzat bp
4233,Budapest Főváros II. kerület Önkormányzat,0,25,25,,,,,,,önkormányzat bp
4234,Budapest Főváros III. kerület Önkormányzata (Óbuda-Békásmegyer),8,28,20,,,,,,,önkormányzat bp
4247,Érd Város Önkormányzata,0,44,44,Érd Önkormányzat,érdi önkormányzat,,,,,önkormányzat város
4259,Baja Város Önkormányzata,0,13,13,bajai önkormányzat,Baja Önkormányzat,,,,,önkormányzat város
4264,Kaposvár Város Önkormányzata,0,20,20,Kaposvár Önkormányzat,kaposvári önkormányzat,,,,,önkormányzat város
4266,Városgazdálkodási Zrt. (Orosháza),0,1,1,,,,,,,
4268,Nagykőrös Város Önkormányzat,0,8,8,,,,,,,
4270,Miskolc Megyei Jogú Város Önkormányzata,5,30,25,Miskolc Önkormányzata,miskolci önkormányzat,,,,,önkormányzat város
4275,Mosonmagyaróvár Város Önkormányzata,0,6,6,,,,,,,
4277,Alkotmánybíróság,888,47,-841,,,,,,,
4280,Kazincbarcika Város Önkormányzata,1,25,24,,,,,,,
4282,Budapest Főváros XXI. kerület Önkormányzata (Csepel),*,,,,,,,,,önkormányzat bp
4286,Geominforg Bányászati,0,1,1,,,,,,,
4288,Szervező és Szolgáltató Kft.,0,1,1,,,,,,,
4290,IDEÁLIS ÁRON Bt.,0,2,2,,,,,,,
4300,Oroszlány város Önkormányzata,0,3,3,,,,,,,
4311,MSZMP,80,4,-76,,,,,,,
4316,West Hungária Bau (WHB) Építő Kft. ,215,286,71,WHB,West Hungária Bau,West Hungária Bau Építő Kft. ,West Hungária Bau Kft.,,,zárójel
4317,Szemere Bertalan Szakközépiskola Szakiskola és Kollégium,0,2,2,,,,,,,
4319,Csongrád Megyei Rendőr-főkapitányság,35,4,-31,,,,,,,
4320,Közbeszerzési Hatóság,316,24,-292,,,,,,,
4322,Fót Város Önkormányzata,2,25,23,,,,,,,
4339,Mezőpanel Rt.,0,1,1,,,,,,,
4340,Békés Megyei Rendőr-főkapitányság,31,3,-28,,,,,,,
4356,Agrárinnovációs Kht.,31,5,-26,,,,,,,
4358,International Bullion Metall Brokers (IBB) Kft.,0,2,2,,,,,,,
4372,Média Tensor Print Kft.,0,1,1,,,,,,,
4375,Bányaker 100 nevű bt.,0,1,1,,,,,,,
4379,Fradi Rt.,0,3,3,,,,,,,
4391,Sherrif Kft.,0,1,1,,,,,,,
4395,Betonútépítő Nemzetközi Rt.,0,1,1,,,,,,,
4399,Algyő Nagyközség Önkormányzat,0,1,1,,,,,,,
4400,Fővárosi Törvényszék,1291,27,-1264,,,,,,,
4401,ELI-HU Nonprofit Kft.,0,2,2,,,,,,,
4404,Somogy Megyei Rendőr-főkapitányság,20,1,-19,,,,,,,
4407,Pocsaj Község Önkormányzata,0,1,1,,,,,,,
4410,Magyar Sertéstartók Szövetsége,0,4,4,,,,,,,
4413,Pest Megyei Rendőr-főkapitányság,100,5,-95,,,,,,,
4416,Crumax Inc.,0,1,1,,,,,,,
4420,Konstantin Karát,0,1,1,,,,,,,
4424,Pécs Megyei Jogú Város Hivatásos Önkormányzati Tűzoltósága,0,1,1,,,,,,,
4427,Vám- és Pénzügyőri Hivatal Szombathely,0,1,1,,,,,,,
4433,Dr. Bugyi István Kórház (Szentes),0,1,1,Bugyi István Kórház,Dr. Bugyi István Kórház,,,,,zárójel
4435,Városi Kórház-Rendelőintézet Várpalota,0,1,1,,,,,,,
4439,Bács-Kiskun Megyei Földhivatal,0,1,1,,,,,,,
4455,Ecséd község Önkormányzata,0,1,1,,,,,,,
4463,LN City Center Kft.,0,1,1,,,,,,,
4464,Győr Megyei Jogú Város Önkormányzata,3,54,51,Győr Önkormányzata,győri ökormányzat,,,,,önkormányzat város
4466,Aldi,28,5,-23,,,,,,,
4467,Lidl,46,5,-41,,,,,,,
4468,Spar,35,7,-28,,,,,,,
4473,Éléstár Fogyasztóvédelmi Jogvédő és Kulturális Egyesület,0,1,1,,,,,,,
4485,Mohács-Hő Hőszolgáltató Kft.,0,1,1,,,,,,,
4487,Drávapiski község önkormányzata,0,2,2,,,,,,,
4490,BAE Systems,65,10,-55,,,,,,,
4497,datap,0,1,1,,,,,,,
4521,GerillaPress Kft.,5,30,25,,,,,,,
4526,Budapest Főváros XVIII. kerület Önkormányzata,0,26,26,XVIII. kerületi önkormányzat,,,,,,önkormányzat bp
4528,Egis (Franciaország),0,1,1,,,,,,,
4537,Tiszavasvári Város Önkormányzata,0,1,1,,,,,,,
4538,Észak-Tolna Megyei Takarékszövetkezet,0,1,1,,,,,,,
4539,Buják Község Önkormányzata,0,1,1,,,,,,,
4546,Kézilabda Utánpótlás Sport Kft,0,1,1,,,,,,,
4558,Szentendre Város Önkormányzata,3,18,15,,,,,,,
4568,Vindependent Egyesület,0,1,1,,,,,,,
4590,Kápátok Művészeti és Kulturális Egyesület,0,1,1,,,,,,,
4592,Kiskunhalas Város Önkormányzata,0,9,9,,,,,,,önkormányzat város
4600,Nemzeti Színház,62,4,-58,,,,,,,
4601,Heves Megyei Rendőr-főkapitányság,44,3,-41,,,,,,,
4602,Bevándorlási és Állampolgársági Hivatal,56,30,-26,,,,,,,
4643,Balatonföldvár Város Önkormányzata,1,13,12,,,,,,,
4667,Színes TISZK Gazdasági Szervezet,0,1,1,,,,,,,
4670,Pálháza Város Önkormányzata,0,4,4,,,,,,,
4671,Eger Megyei Jogú Város Önkormányzata,1,20,19,Eger Önkormányzata,egri önkormányzat,,,,,önkormányzat város
4673,Szabolcs-Szatmár-Bereg Megyei Bíróság,46,1,-45,,,,,,,
4682,BRFK XIII. kerületi Rendőrkapitányság,0,5,5,,,,,,,
4684,Belvárosi Rezidenciák Kft.,0,2,2,,,,,,,
4685,Veresegyház Város Önkormányzata,1,19,18,,,,,,,
4688,Csobánka Község Önkormányzata,0,3,3,,,,,,,
4690,Microsoft,100,15,-85,,,,,,,
4691,R-CO Zrt.,0,1,1,,,,,,,
4695,Szegedi Városi Bíróság,70,2,-68,,,,,,,
4696,Tiszasziget Község Önkormányzata,0,5,5,,,,,,,
4699,Országos Környezetvédelmi Természetvédelmi és Vízügyi Felügyelőség,0,16,16,,,,,,,
4721,Szekszárd Megyei Jogú Város Önkormányzata,2,43,41,Szekszárd Önkormányzata,szekszárdi önkormányzat,,,,,önkormányzat város
4723,Pannon Liver Kft.,0,1,1,,,,,,,
4728,Apple,34,7,-27,,,,,,,
4733,Jászapáti Város Önkormányzata,0,7,7,,,,,,,
4735,Nagykanizsa Megyei Jogú Város Önkormányzata,0,4,4,Nagykanizsa Önkormányzata,nagykanizsai önkormányzat,,,,,önkormányzat város
4736,Kecskemét Megyei Jogú Város Önkormányzata,0,20,20,Kecskemét Önkormányzata,kecskeméti önkormányzat,,,,,önkormányzat város
4738,Zalaegerszeg Megyei Jogú Város Önkormányzata,0,6,6,Zalaegerszeg Önkormányzata,zalaegerszegi önkormányzat,,,,,önkormányzat város
4739,Balassagyarmat Város Önkormányzata,0,1,1,,,,,,,
4741,Budapest Főváros XIX. kerület Önkormányzata (Kispest),0,33,33,,,,,,,önkormányzat bp
4742,Budapest Főváros XXIII. kerület Önkormányzata (Soroksár),0,7,7,XXIII. kerületi önkormányzat,Soroksári Önkormányzat,,,,,önkormányzat bp
4744,Hekla Trade Bt.,0,1,1,,,,,,,
4751,Budapest Főváros Városépítő Tervező Kft. (BFVT),0,1,1,,,,,,,
4758,MVM Paks II. Atomerőmű Fejlesztő Zrt.,15,85,70,MVM Paksi Atomerőmű Zrt.,Paks II. Zrt.,,,,,
4760,Morex 93 Kft.,0,1,1,,,,,,,
4762,Széchenyi programirodák,0,4,4,,,,,,,
4763,Pitvaros Község Önkormányzata,0,1,1,,,,,,,
4773,Csabdi község önkormányzata,0,1,1,,,,,,,
4789,Pest Megyei Kormányhivatal,86,21,-65,,,,,,,
4792,Hajdúsámson Város Önkormányzata,0,3,3,,,,,,,
4793,Elios Innovatív Zrt.,108,279,171,Elios Zrt.,,,,,,
4800,Baktalóránthaza Város Önkormányzata,0,2,2,,,,,,,
4811,Országos Vízügyi Főigazgatóság,48,15,-33,,,,,,,
4815,Ambíció Építőipari Kereskedelmi és Szolgáltató Kft.,0,1,1,,,,,,,
4816,Budapest Főváros IV. kerület Önkormányzata (Újpest),0,8,8,,,,,,,önkormányzat bp
4834,Sárvár Város Önkormányzata,0,2,2,,,,,,,
4838,Duna-Dráva Nemzeti Park,0,1,1,,,,,,,
4841,Szigetvár Város Önkormányzata,0,6,6,,,,,,,
4843,Balmazújváros Város Önkormányzata,0,27,27,Balmazújváros Önkormányzat,balmazújvárosi önkormányzat,,,,,önkormányzat város
4847,Siklós Város Önkormányzata,0,1,1,,,,,,,
4848,Nyírlugos Város Önkormányzata,0,3,3,,,,,,,
4851,Budapest Főváros X. kerület Önkormányzata (Kőbánya),0,14,14,,,,,,,önkormányzat bp
4865,Harkány Város Önkormányzata,0,7,7,,,,,,,
4868,Citibank,20,5,-15,,,,,,,
4870,Budapesti Műszaki Egyetem,41,18,-23,,,,,,,
4886,UBS,32,3,-29,,,,,,,
4900,Fidelio Média Kft.,0,1,1,,,,,,,
4904,Gyermekeink Művelődéséért Kulturált Jövőnkért Alapítvány,0,1,1,,,,,,,
4907,Együtt-PM,217,18,-199,,,,,,,
4910,MVM Paksi Atomerőmű Zrt.,28,42,14,Paksi Zrt.,MVM Paksi Zrt.,Paksi Atomerőmű Zrt.,,,,
4942,Bayer Hungária Kft.,0,2,2,,,,,,,
4946,Arysta LifeScience Magyarország Kft.,0,1,1,,,,,,,
4949,Dow AgroSciences Hungary Kft.,0,1,1,,,,,,,
4951,Makhteshim Agan Hungary Zrt.,0,1,1,,,,,,,
4956,Hőgyészi Agrokémiai Kft.,0,3,3,,,,,,,
4965,LS Group Hungary Kft.,0,1,1,,,,,,,
4990,Gabona 123 Kft.,0,1,1,,,,,,,
5003,Ticinium Kft.,0,1,1,,,,,,,
5008,Szellemi Tulajdon Nemzeti Hivatala,22,7,-15,,,,,,,
5021,Hatvan Város Önkormányzata,1,15,14,,,,,,,
5029,CZECZ Trade Center Zrt.,0,1,1,,,,,,,
5034,Székesfehérvár Város Önkormányzata,0,19,19,,,,,,,önkormányzat város
5036,EIB-H'2009 Kft.,0,1,1,,,,,,,
5037,Gyöngyöspata Község Önkormányzata,0,1,1,,,,,,,
5042,Pegazus Group Kereskedelmi és Szolgáltató Kft.,0,1,1,,,,,,,
5051,Szentgotthárd Város Önkormányzata,0,2,2,,,,,,,
5052,Sopron Város Önkormányzata,0,2,2,,,,,,,
5057,Dunakeszi Város Önkormányzata,2,14,12,,,,,,,
5062,Flash Gold Kft.,0,1,1,,,,,,,
5063,EU-Assistance 2006 Kft.,0,1,1,,,,,,,
5065,B & SZ Kft.,0,1,1,,,,,,,
5079,Kormányzati Információs Központ,24,1,-23,,,,,,,
5087,Tálió-2001 Kft.,0,1,1,,,,,,,
5096,Monori Center,0,1,1,,,,,,,
5097,Nemzeti Agrárgazdasági Kamara,62,21,-41,,,,,,,
5126,Five Grid AG,0,1,1,,,,,,,
5130,Siófok Város Önkormányzata,0,19,19,,,,,,,önkormányzat város
5133,Siófoki Kórház,0,1,1,,,,,,,
5145,Bátorfi és Társa Fogászati Zrt.,0,2,2,,,,,,,
5158,Tranz-Action Kft.,0,1,1,,,,,,,
5159,New Place Investment LTD,0,1,1,,,,,,,
5166,Szabad Demokrata Közösség,0,1,1,,,,,,,
5167,Közép- és Kelet-Európai Történelem és Társadalom Kutatásért Közalapítvány,1,40,39,,,,,,,
5169,Gótikus Ház Szolgáltató Kft.,0,2,2,,,,,,,
5173,Munkáspárt,79,5,-74,,,,,,,
5180,Noir et L'or Kft.,0,1,1,,,,,,,
5192,Fővárosi Ítélőtábla,786,10,-776,,,,,,,
5193,Las Vegas Casino Kft.,33,46,13,,,,,,,
5208,Accor Pannonia Hotels Zrt.,0,2,2,,,,,,,
5209,Holding Company for Pannonia S. A.,0,1,1,,,,,,,
5212,Las Vegas Casino S.a.r.l.,1,14,13,,,,,,,
5226,Geológiai és Kútszelvényező Kft.,0,1,1,,,,,,,
5227,Norvég Alap,118,172,54,,,,,,,
5228,Ökotárs,49,153,104,,,,,,,
5231,Clo-dex Hungary Kft.,0,1,1,,,,,,,
5238,Esélyt az Ifjúságnak Alapítvány,0,2,2,,,,,,,
5241,Sóstó Hotel,0,2,2,,,,,,,
5243,Autonómia Alapítvány,37,14,-23,,,,,,,
5244,DemNet Alapítvány,7,26,19,,,,,,,
5245,Föld napja Alapítvány,0,2,2,,,,,,,
5257,Újfehértó Város Önkormányzata,0,3,3,,,,,,,
5275,Krétakör,25,1,-24,,,,,,,
5280,Nyíregyházi Törvényszék,48,2,-46,,,,,,,
5281,Szegedi Törvényszék,84,4,-80,,,,,,,
5282,XIII.kerületi Önkormányzati Parkolási Kft.,0,1,1,,,,,,,
5284,ÖBB,35,2,-33,,,,,,,
5287,Kisvárda Város Önkormányzata,3,18,15,,,,,,,
5290,Kishantosi Vidékfejlesztési Központ,18,3,-15,,,,,,,
